time,phi1_r,phi1_i,dphi1_r,dphi1_i,phi2_r,phi2_i,dphi2_r,dphi2_i,phi3_r,phi3_i,dphi3_r,dphi3_i,x_r,x_i,dx_r,dx_i,y_r,y_i,dy_r,dy_i,
51,0.000857299,-3.45862e-05,-7.6272e-05,2.96276e-06,0.11848,-0.00880909,0.0011724,-0.000243327,0.00200399,1.66548e-05,-0.00015987,3.69215e-07,0.000282295,0,-1.20034e-05,0,-0.0289872,0,-0.000600605,-0,
52,0.000784405,-3.17386e-05,-6.96196e-05,2.73527e-06,0.119658,-0.00905441,0.00118399,-0.000247319,0.00185034,1.69582e-05,-0.000147583,2.40268e-07,0.000271498,0,-9.32778e-06,0,-0.0295859,0,-0.000599557,-0,
53,0.000717862,-2.91104e-05,-6.35592e-05,2.52361e-06,0.120848,-0.00930375,0.00119568,-0.000251367,0.00170851,1.71404e-05,-0.000136236,1.26511e-07,0.000262736,0,-9.01286e-06,0,-0.0301866,0,-0.000599377,-0,
54,0.000657107,-2.66864e-05,-5.80373e-05,2.32687e-06,0.12205,-0.00955716,0.00120746,-0.000255472,0.00157758,1.72159e-05,-0.000125758,2.6636e-08,0.000252754,0,-1.05625e-05,0,-0.0307793,0,-0.000585314,-0,
55,0.000601625,-2.4452e-05,-5.30053e-05,2.14417e-06,0.123263,-0.00981471,0.00121933,-0.000259634,0.00145673,1.71979e-05,-0.000116083,-6.0582e-08,0.000243104,0,-8.22929e-06,0,-0.0313616,0,-0.000582568,-0,
56,0.000550948,-2.23936e-05,-4.84189e-05,1.97466e-06,0.124488,-0.0100765,0.00123131,-0.000263854,0.00134517,1.70985e-05,-0.00010715,-1.36288e-07,0.000235783,0,-7.23659e-06,0,-0.0319466,0,-0.000585422,-0,
57,0.000504652,-2.04986e-05,-4.4238e-05,1.81752e-06,0.125726,-0.0103424,0.00124339,-0.000268133,0.0012422,1.69288e-05,-9.89033e-05,-2.0155e-07,0.000227526,0,-9.10857e-06,0,-0.0325265,0,-0.000572984,-0,
58,0.000462349,-1.87547e-05,-4.0426e-05,1.67196e-06,0.126975,-0.0106127,0.00125558,-0.000272472,0.00114715,1.66986e-05,-9.12901e-05,-2.57359e-07,0.000219014,0,-7.22615e-06,0,-0.0330957,0,-0.000568723,-0,
59,0.000423688,-1.7151e-05,-3.69498e-05,1.53723e-06,0.128237,-0.0108874,0.00126788,-0.00027687,0.00105942,1.64169e-05,-8.42624e-05,-3.04635e-07,0.000212933,0,-5.71847e-06,0,-0.0336675,0,-0.000573691,-0,
60,0.000388347,-1.56769e-05,-3.37793e-05,1.41262e-06,0.129511,-0.0111665,0.00128029,-0.000281329,0.000978446,1.60919e-05,-7.77755e-05,-3.44229e-07,0.000206207,0,-7.75233e-06,0,-0.034237,0,-0.000563022,-0,
61,0.000356036,-1.43226e-05,-3.08871e-05,1.29745e-06,0.130797,-0.0114501,0.00129281,-0.000285849,0.000903704,1.57308e-05,-7.1788e-05,-3.76926e-07,0.000198779,0,-6.29611e-06,0,-0.0347956,0,-0.000557699,-0,
62,0.000326489,-1.30791e-05,-2.82483e-05,1.19107e-06,0.132097,-0.0117382,0.00130545,-0.000290432,0.000834716,1.53401e-05,-6.62617e-05,-4.03449e-07,0.000193771,0,-4.44962e-06,0,-0.0353569,0,-0.000564082,-0,
63,0.000299463,-1.19377e-05,-2.58402e-05,1.09288e-06,0.133408,-0.012031,0.00131821,-0.000295077,0.000771039,1.49257e-05,-6.11615e-05,-4.24462e-07,0.000188339,0,-6.56986e-06,0,-0.0359177,0,-0.000554892,-0,
64,0.000274738,-1.08908e-05,-2.36423e-05,1.0023e-06,0.134733,-0.0123284,0.00133108,-0.000299786,0.000712263,1.44928e-05,-5.64544e-05,-4.40573e-07,0.0001819,0,-5.42169e-06,0,-0.036468,0,-0.000549071,-0,
65,0.000252114,-9.93078e-06,-2.16359e-05,9.18799e-07,0.136071,-0.0126306,0.00134408,-0.00030456,0.000658009,1.4046e-05,-5.21105e-05,-4.52339e-07,0.000177842,0,-3.39725e-06,0,-0.037021,0,-0.000556433,-0,
66,0.000231408,-9.05098e-06,-1.9804e-05,8.41858e-07,0.137421,-0.0129375,0.00135719,-0.000309398,0.00060793,1.35894e-05,-4.81018e-05,-4.60268e-07,0.000173456,0,-5.60265e-06,0,-0.0375747,0,-0.000548141,-0,
67,0.000212454,-8.24503e-06,-1.8131e-05,7.71006e-07,0.138785,-0.0132494,0.00137043,-0.000314303,0.000561702,1.31266e-05,-4.44026e-05,-4.64824e-07,0.000167893,0,-4.58525e-06,0,-0.0381183,0,-0.000542432,-0,
68,0.000195098,-7.50708e-06,-1.66028e-05,7.05797e-07,0.140162,-0.0135662,0.0013838,-0.000319275,0.000519029,1.26607e-05,-4.09889e-05,-4.66426e-07,0.000164696,0,-2.53116e-06,0,-0.038665,0,-0.000550518,-0,
69,0.000179204,-6.8317e-06,-1.52068e-05,6.45812e-07,0.141553,-0.0138879,0.00139729,-0.000324314,0.000479637,1.21946e-05,-3.78389e-05,-4.65456e-07,0.000161112,0,-4.86274e-06,0,-0.0392129,0,-0.000542386,-0,
70,0.000164644,-6.21385e-06,-1.39312e-05,5.90662e-07,0.142957,-0.0142148,0.00141091,-0.000329422,0.00044327,1.17306e-05,-3.49322e-05,-4.62261e-07,0.000156315,0,-3.76201e-06,0,-0.039751,0,-0.000537477,-0,
